,root,edge,source,target,rank,depth,search_engine,datetime,grandparent,parent
0,jobs in livingston alabama,"('jobs in livingston alabama', 'jobs hiring in livingston alabama')",jobs in livingston alabama,jobs hiring in livingston alabama,1,0,google,2025-10-28 23:02:33.597937,,
1,jobs in livingston alabama,"('jobs in livingston alabama', 'jobs in livingston al')",jobs in livingston alabama,jobs in livingston al,2,0,google,2025-10-28 23:02:33.597937,,
2,jobs in livingston alabama,"('jobs hiring in livingston alabama', 'job openings in livingston al')",jobs hiring in livingston alabama,job openings in livingston al,1,1,google,2025-10-28 23:02:34.610278,,jobs in livingston alabama
3,jobs in livingston alabama,"('jobs hiring in livingston alabama', 'jobs near livingston alabama')",jobs hiring in livingston alabama,jobs near livingston alabama,2,1,google,2025-10-28 23:02:34.610278,,jobs in livingston alabama
4,jobs in livingston alabama,"('jobs hiring in livingston alabama', 'jobs hiring near livingston al')",jobs hiring in livingston alabama,jobs hiring near livingston al,3,1,google,2025-10-28 23:02:34.610278,,jobs in livingston alabama
5,jobs in livingston alabama,"('jobs hiring in livingston alabama', 'livingston al jobs')",jobs hiring in livingston alabama,livingston al jobs,4,1,google,2025-10-28 23:02:34.610278,,jobs in livingston alabama
6,jobs in livingston alabama,"('jobs in livingston al', 'jobs hiring in livingston al')",jobs in livingston al,jobs hiring in livingston al,1,1,google,2025-10-28 23:02:35.403730,,jobs in livingston alabama
7,jobs in livingston alabama,"('jobs in livingston al', 'job openings in livingston al')",jobs in livingston al,job openings in livingston al,2,1,google,2025-10-28 23:02:35.403730,,jobs in livingston alabama
8,jobs in livingston alabama,"('jobs in livingston al', 'part time jobs in livingston al')",jobs in livingston al,part time jobs in livingston al,3,1,google,2025-10-28 23:02:35.403730,,jobs in livingston alabama
9,jobs in livingston alabama,"('jobs in livingston al', 'jobs aldi livingston')",jobs in livingston al,jobs aldi livingston,4,1,google,2025-10-28 23:02:35.403730,,jobs in livingston alabama
10,jobs in livingston alabama,"('jobs in livingston al', 'jobs in livingston alabama')",jobs in livingston al,jobs in livingston alabama,5,1,google,2025-10-28 23:02:35.403730,,jobs in livingston alabama
11,jobs in livingston alabama,"('jobs in livingston al', 'jobs in livingston county')",jobs in livingston al,jobs in livingston county,6,1,google,2025-10-28 23:02:35.403730,,jobs in livingston alabama
12,jobs in livingston alabama,"('jobs in livingston al', 'jobs in livingston la')",jobs in livingston al,jobs in livingston la,7,1,google,2025-10-28 23:02:35.403730,,jobs in livingston alabama
13,jobs in livingston alabama,"('job openings in livingston al', 'jobs hiring in livingston al')",job openings in livingston al,jobs hiring in livingston al,1,2,google,2025-10-28 23:02:36.221062,jobs in livingston alabama jobs in livingston alabama,jobs hiring in livingston alabama jobs in livingston al
14,jobs in livingston alabama,"('job openings in livingston al', 'job openings in livingston tx')",job openings in livingston al,job openings in livingston tx,2,2,google,2025-10-28 23:02:36.221062,jobs in livingston alabama jobs in livingston alabama,jobs hiring in livingston alabama jobs in livingston al
15,jobs in livingston alabama,"('job openings in livingston al', 'jobs in livingston alabama')",job openings in livingston al,jobs in livingston alabama,3,2,google,2025-10-28 23:02:36.221062,jobs in livingston alabama jobs in livingston alabama,jobs hiring in livingston alabama jobs in livingston al
16,jobs in livingston alabama,"('job openings in livingston al', 'jobs in livingston al')",job openings in livingston al,jobs in livingston al,4,2,google,2025-10-28 23:02:36.221062,jobs in livingston alabama jobs in livingston alabama,jobs hiring in livingston alabama jobs in livingston al
17,jobs in livingston alabama,"('job openings in livingston al', 'jobs hiring in livingston alabama')",job openings in livingston al,jobs hiring in livingston alabama,5,2,google,2025-10-28 23:02:36.221062,jobs in livingston alabama jobs in livingston alabama,jobs hiring in livingston alabama jobs in livingston al
18,jobs in livingston alabama,"('jobs near livingston alabama', 'jobs hiring near livingston al')",jobs near livingston alabama,jobs hiring near livingston al,1,2,google,2025-10-28 23:02:37.670342,jobs in livingston alabama,jobs hiring in livingston alabama
19,jobs in livingston alabama,"('jobs near livingston alabama', 'indeed jobs near livingston al')",jobs near livingston alabama,indeed jobs near livingston al,2,2,google,2025-10-28 23:02:37.670342,jobs in livingston alabama,jobs hiring in livingston alabama
20,jobs in livingston alabama,"('jobs near livingston alabama', 'jobs near livingston al')",jobs near livingston alabama,jobs near livingston al,3,2,google,2025-10-28 23:02:37.670342,jobs in livingston alabama,jobs hiring in livingston alabama
21,jobs in livingston alabama,"('jobs hiring near livingston al', 'jobs near livingston al')",jobs hiring near livingston al,jobs near livingston al,1,2,google,2025-10-28 23:02:38.525611,jobs in livingston alabama,jobs hiring in livingston alabama
22,jobs in livingston alabama,"('jobs hiring near livingston al', 'jobs hiring near livingston tx')",jobs hiring near livingston al,jobs hiring near livingston tx,2,2,google,2025-10-28 23:02:38.525611,jobs in livingston alabama,jobs hiring in livingston alabama
23,jobs in livingston alabama,"('jobs hiring near livingston al', 'jobs hiring in livingston alabama')",jobs hiring near livingston al,jobs hiring in livingston alabama,3,2,google,2025-10-28 23:02:38.525611,jobs in livingston alabama,jobs hiring in livingston alabama
24,jobs in livingston alabama,"('livingston al jobs', 'livingston al jobs hiring')",livingston al jobs,livingston al jobs hiring,1,2,google,2025-10-28 23:02:39.302184,jobs in livingston alabama,jobs hiring in livingston alabama
25,jobs in livingston alabama,"('livingston al jobs', 'ucs livingston al jobs')",livingston al jobs,ucs livingston al jobs,2,2,google,2025-10-28 23:02:39.302184,jobs in livingston alabama,jobs hiring in livingston alabama
26,jobs in livingston alabama,"('livingston al jobs', 'city of livingston al jobs')",livingston al jobs,city of livingston al jobs,3,2,google,2025-10-28 23:02:39.302184,jobs in livingston alabama,jobs hiring in livingston alabama
27,jobs in livingston alabama,"('livingston al jobs', 'livingston jobs full time')",livingston al jobs,livingston jobs full time,4,2,google,2025-10-28 23:02:39.302184,jobs in livingston alabama,jobs hiring in livingston alabama
28,jobs in livingston alabama,"('livingston al jobs', 'livingston esa jobs')",livingston al jobs,livingston esa jobs,5,2,google,2025-10-28 23:02:39.302184,jobs in livingston alabama,jobs hiring in livingston alabama
29,jobs in livingston alabama,"('livingston al jobs', 'livingston jobs part time')",livingston al jobs,livingston jobs part time,6,2,google,2025-10-28 23:02:39.302184,jobs in livingston alabama,jobs hiring in livingston alabama
30,jobs in livingston alabama,"('livingston al jobs', 'jobs in livingston alabama')",livingston al jobs,jobs in livingston alabama,7,2,google,2025-10-28 23:02:39.302184,jobs in livingston alabama,jobs hiring in livingston alabama
31,jobs in livingston alabama,"('livingston al jobs', 'livingston job openings')",livingston al jobs,livingston job openings,8,2,google,2025-10-28 23:02:39.302184,jobs in livingston alabama,jobs hiring in livingston alabama
32,jobs in livingston alabama,"('jobs hiring in livingston al', 'jobs hiring in livingston alabama')",jobs hiring in livingston al,jobs hiring in livingston alabama,1,2,google,2025-10-28 23:02:40.593181,jobs in livingston alabama,jobs in livingston al
33,jobs in livingston alabama,"('jobs hiring in livingston al', 'job openings in livingston al')",jobs hiring in livingston al,job openings in livingston al,2,2,google,2025-10-28 23:02:40.593181,jobs in livingston alabama,jobs in livingston al
34,jobs in livingston alabama,"('jobs hiring in livingston al', 'jobs near livingston al')",jobs hiring in livingston al,jobs near livingston al,3,2,google,2025-10-28 23:02:40.593181,jobs in livingston alabama,jobs in livingston al
35,jobs in livingston alabama,"('jobs hiring in livingston al', 'jobs hiring in livingston parish')",jobs hiring in livingston al,jobs hiring in livingston parish,4,2,google,2025-10-28 23:02:40.593181,jobs in livingston alabama,jobs in livingston al
36,jobs in livingston alabama,"('part time jobs in livingston al', 'part-time jobs in livingston tx')",part time jobs in livingston al,part-time jobs in livingston tx,1,2,google,2025-10-28 23:02:41.940031,jobs in livingston alabama,jobs in livingston al
37,jobs in livingston alabama,"('part time jobs in livingston al', 'part time jobs in livingston parish')",part time jobs in livingston al,part time jobs in livingston parish,2,2,google,2025-10-28 23:02:41.940031,jobs in livingston alabama,jobs in livingston al
38,jobs in livingston alabama,"('part time jobs in livingston al', 'part time jobs in livingston texas')",part time jobs in livingston al,part time jobs in livingston texas,3,2,google,2025-10-28 23:02:41.940031,jobs in livingston alabama,jobs in livingston al
39,jobs in livingston alabama,"('jobs aldi livingston', 'lidl livingston jobs')",jobs aldi livingston,lidl livingston jobs,1,2,google,2025-10-28 23:02:42.891754,jobs in livingston alabama,jobs in livingston al
40,jobs in livingston alabama,"('jobs aldi livingston', 'aldi foods jobs')",jobs aldi livingston,aldi foods jobs,2,2,google,2025-10-28 23:02:42.891754,jobs in livingston alabama,jobs in livingston al
41,jobs in livingston alabama,"('jobs aldi livingston', 'aldi livingston nj jobs')",jobs aldi livingston,aldi livingston nj jobs,3,2,google,2025-10-28 23:02:42.891754,jobs in livingston alabama,jobs in livingston al
